cluster;representative protein;other proteins
6866;P32314;
6867;P55010;
6868;Q05048;
6869;Q5DX21;
6870;Q5SQS7;
6871;Q5SZB4;
6872;Q5VUD6;Q5T7M9
6873;Q6HA08;
6874;Q7RTN6;Q9C0K7
6875;Q96A11;
6876;Q96P65;
6877;Q9BQ95;
6878;Q9BT88;Q9H2B2
6879;Q9BZS1;
6880;Q9H8J5;
6881;Q9UK39;
6882;P00505;P17174
6883;P05783;P35900,
6884;P28330;
6885;P42696;
6886;P82675;
6887;Q6ZNI0;Q8N0V5,
6888;Q8IV20;A0A0D9SEW6
6889;Q8N819;
6890;Q8NDZ4;
6891;Q969Z4;
6892;Q9BXG8;
6893;Q9HB15;Q9HB14
6894;Q9NW68;
6895;Q9UIF3;
6896;Q9UJU6;
6897;O14863;
6898;O43826;
6899;O96019;O94805
6900;P06280;P17050
6901;P43364;P43362,P43366,P43365,P43360,P43359,P43357,P43361,O15481,O15479,A8MXT2,Q96M61,P43358,O15480,P43356,Q96LZ2
6902;Q6WN34;
6903;Q7Z6Z6;
6904;Q8N3F9;O60478
6905;Q8NBX0;
6906;Q8NEF9;
6907;Q8NFZ5;
6908;Q8WU79;
6909;Q8WWF5;
6910;Q96P11;Q3KNT7,Q63ZY6
6911;Q9H171;
6912;Q9NSD4;
6913;Q9NWB7;
6914;Q9UK05;O95393,
6915;Q9Y2G5;
6916;P01854;
6917;P19419;
6918;Q13838;O00148
6919;Q14254;O75955,
6920;Q3SXY8;
6921;Q7Z7G1;
6922;Q8TEB7;Q8N7C7,Q8WVZ7
6923;Q9C0E8;
6924;Q9H7B4;
6925;Q9NPH0;
6926;Q9Y546;
6927;P08138;
6928;P20062;
6929;P24588;
6930;P24752;Q9BWD1,P42765,
6931;P29622;Q86U17,P05543,P05154,Q86WD7,P08185,G3V5I3,P01011
6932;P36578;
6933;P51606;
6934;P78552;
6935;Q14653;
6936;Q8NEY4;P21283,
6937;Q92466;
6938;Q9Y606;
6939;A6NEQ2;
6940;P08476;
6941;P26440;
6942;Q02556;
6943;Q5SWL7;
6944;Q6BAA4;
6945;Q6PI47;
6946;Q6WBX8;
6947;Q7L8C5;
6948;Q8WU90;
6949;Q96NU7;
6950;Q96RD7;Q96QZ0
6951;Q9BZG2;P15309,P11117
6952;Q9GZT9;M0QY20,Q9H6Z9,Q96KS0
6953;Q9HB89;Q9GZQ4,
6954;Q9Y574;
6955;A1Z1Q3;Q9BQ69
6956;O95810;
6957;P08910;
6958;P22234;
6959;P25116;
6960;Q09028;Q16576,
6961;Q2WEN9;
6962;Q5FWF6;
6963;Q7Z5V6;
6964;Q8N5Z0;
6965;Q8N806;
6966;Q8WXS5;Q9Y698,Q9UBN1,O60359
6967;Q92844;
6968;Q92989;
6969;Q96FV2;Q0VDG4,Q12765,
6970;Q9BZY9;
6971;Q9HB19;Q9HB21
6972;Q9NX45;
6973;Q9NXE8;
6974;A0A1B0GW55;Q9UBX2,P0CJ89,P0CJ88,Q6RFH8,Q96PT4,Q96PT3,P0CJ87,P0CJ85,P0CJ86,P0CJ90,O43812
6975;A8MV23;
6976;B4DS77;
6977;P09110;
6978;P11801;Q96QS6,
6979;P21754;Q6PJE2
6980;P47901;P30559,P37288,P30518,
6981;Q13309;
6982;Q15427;
6983;Q15916;
6984;Q52WX2;
6985;Q66K41;
6986;Q86SH2;
6987;Q8IUW3;
6988;Q96BI1;
6989;Q96EB1;
6990;Q96LX8;
6991;Q9BS91;
6992;O15504;
6993;O60906;
6994;O95922;
6995;P10589;P10588,P24468,M0R384,
6996;P22830;
6997;P34949;
6998;P50440;
6999;Q5VYY2;P07098,Q5W064,Q5VXI9,P38571,Q5VXJ0
7000;Q6ZV89;
7001;Q7M4L6;
7002;Q86VE9;
7003;Q8N2R8;Q6ZT52
7004;Q8TDS5;
7005;Q99999;
7006;Q9BXS5;Q9Y6Q5,
7007;Q9BXW7;
7008;Q9BZE1;
7009;Q9GZL7;
7010;Q9H3S5;
7011;Q9NS68;
7012;Q9NXH8;
7013;Q9NYM4;
7014;Q9UBD0;
7015;Q9UNS2;
7016;A6NKP2;Q8WUS8
7017;B2RXF5;
7018;O00231;
7019;O43825;Q9Y5Z6
7020;O75462;
7021;P08908;
7022;P21579;O00445,Q8N9I0
7023;P26367;
7024;Q14153;
7025;Q14626;G3V4G9
7026;Q53H12;
7027;Q6J9G0;
7028;Q7Z7E8;Q8WVN8,A1L167
7029;Q8IZ63;
7030;Q8N9M1;
7031;Q8N9W8;
7032;Q96LQ0;
7033;Q99684;Q5VTD9
7034;Q99705;
7035;Q9BSU1;
7036;Q9C075;
7037;Q9GZR2;
7038;Q9UK53;Q9H160,
7039;O75648;
7040;P09543;
7041;P10323;
7042;P11310;
7043;P18754;
7044;Q5SQI0;
7045;Q66PJ3;
7046;Q7L4P6;
7047;Q8IV01;
7048;Q8NHS2;
7049;Q8TBX8;P78356,P48426
7050;Q8TF44;
7051;Q92949;
7052;Q99983;
7053;Q9BPX7;
7054;Q9BQS2;
7055;Q9BY77;
7056;Q9NVH6;
7057;Q9NWX5;
7058;Q9UGI8;Q9NZU5,
7059;Q9Y6I7;Q9NYS7
7060;A8MTJ6;Q12951,Q6ZQN5,
7061;O14979;Q99729,Q14103
7062;O96009;P0DJD7,P0DJD9,P0DJD8,P00797,P14091,P07339
7063;P20848;P01009,
7064;P49642;A0A3B3ITS8,
7065;Q01344;
7066;Q13641;
7067;Q4JDL3;
7068;Q5T0B9;
7069;Q6NT76;
7070;Q6ZQW0;P14902,
7071;Q6ZV70;
7072;Q86TJ2;
7073;Q8IU60;
7074;Q8NBZ7;
7075;Q8WXU2;
7076;Q96HD1;Q6UXH1,
7077;Q96IJ6;
7078;Q9H2S5;
7079;Q9H6P5;
7080;Q9HC36;
7081;Q9NW64;
7082;Q9NXR5;
7083;O14733;P46734,P45985,P52564,
7084;O14929;
7085;O75600;
7086;P14324;
7087;P16930;
7088;P17540;P12532,P12277,P06732
7089;P21917;
7090;P49767;
7091;Q01851;Q12837,Q15319,
7092;Q0P6D2;
7093;Q14722;O43448,Q13303,
7094;Q16829;Q16828,Q99956
7095;Q7L1Q6;Q9Y6E2
7096;Q8NCF5;
7097;Q8NHQ8;
7098;Q8TAS1;
7099;Q8TDV0;
7100;Q9BZJ6;Q9Y5Y3
7101;Q9GZS1;
7102;Q9H5V7;
7103;Q9HAW0;
7104;Q9HCJ6;Q99536
7105;Q9UQ07;
7106;Q9Y276;
7107;Q9Y3Y4;
7108;Q9Y6K9;
7109;A6NGH8;
7110;P30989;
7111;P31323;P13861,
7112;P32745;P35346,P30872,P31391,P30874
7113;P36955;
7114;P43351;
7115;P49407;P36575,P32121,P10523
7116;P50454;
7117;P53677;Q9Y2T2
7118;P61158;Q9P1U1,Q9C0K3
7119;Q15532;O75177,Q9UHA2,
7120;Q3ZCV2;
7121;Q58FG1;
7122;Q6GMV2;
7123;Q6YN16;
7124;Q71F23;
7125;Q7Z698;Q2MJR0,
7126;Q8IVH4;
7127;Q8N1E6;
7128;Q8NCT1;Q8TBH0,Q96B67,Q9H3M7
7129;Q8WWW0;Q9NS23,Q86WH2
7130;Q969V4;
7131;Q96AG3;
7132;Q9BT04;
7133;Q9NPI9;
7134;Q9NXR8;
7135;Q9UNP4;
7136;A5PLN9;
7137;A6NFY4;
7138;P00558;P07205
7139;P05981;P40313,Q6GPI1,P17538,
7140;P11279;
7141;P18577;Q02161,
7142;P27352;
7143;P27797;Q96L12
7144;P37268;
7145;Q86VY4;
7146;Q8IZD0;
7147;Q8N8V4;
7148;Q8NC26;
7149;Q93038;
7150;Q96E29;
7151;Q96N19;
7152;Q9GZT5;O00744,
7153;Q9HCU5;
7154;Q9NY27;
7155;Q9NZ32;
7156;O43586;Q9H939,
7157;P55211;
7158;Q14CZ8;
7159;Q5M8T2;
7160;Q6JBY9;
7161;Q86T26;
7162;Q8N371;
7163;Q8NFU5;
7164;Q8WUF8;A6NC97,
7165;Q9H000;
7166;Q9H553;
7167;Q9HDC9;
7168;Q9UI08;P50552
7169;Q9UIH9;
7170;Q9UQV4;
7171;Q9Y6K0;Q8WUD6
7172;O43505;
7173;P05120;P30740,P50452,P50453,P48595,P35237
7174;Q13515;
7175;Q15018;
7176;Q15760;
7177;Q5T2R2;
7178;Q6ZN01;
7179;Q8N136;
7180;Q8N5F7;Q5M9Q1
7181;Q8TCW7;
7182;Q96LT4;
7183;Q99519;
7184;Q9H974;
7185;Q9NRD5;
7186;Q9P1A2;
7187;Q9UKU7;
7188;O94864;
7189;P0DPA2;
7190;P25490;O15391,Q96MM3
7191;P61812;P10600,
7192;Q0P651;
7193;Q13148;
7194;Q13572;
7195;Q6UWP7;
7196;Q8IW75;
7197;Q8N228;
7198;Q8NA57;
7199;Q92552;
7200;Q96L50;
7201;Q9H4B0;
7202;Q9H6I2;Q9BT81,
7203;Q9NRB3;
7204;Q9NZC7;
7205;Q9UEE5;O94768,
7206;Q9UM44;
7207;A6NFU0;
7208;Q16254;Q15329
7209;Q5JVS0;Q8NC51,
7210;Q6ZMB5;Q9Y519
7211;Q86VZ5;Q8NHU3,
7212;Q8IWF9;
7213;Q8N3Z0;
7214;Q96AJ1;
7215;Q96IZ5;
7216;Q9H6R6;
7217;Q9UBU6;
7218;O14874;
7219;O43193;
7220;O43463;Q9H5I1
7221;O60496;
7222;O60884;P31689,Q8WW22
7223;O75541;
7224;O95503;
7225;P00966;
7226;P16219;
7227;P29274;P0DMS8,P29275,P30542,
7228;P57081;
7229;P57775;
7230;Q13702;
7231;Q14242;
7232;Q14318;
7233;Q14642;
7234;Q401N2;
7235;Q53SZ7;
7236;Q6NVV9;
7237;Q8IX90;
7238;Q8TBE7;
7239;Q96ES6;
7240;Q9BTE6;
7241;Q9H8X9;P0C7U3
7242;Q9ULX3;
7243;O60268;
7244;P38919;P60842,Q14240
7245;Q15270;Q9UD57
7246;Q3YBR2;
7247;Q5T4F4;
7248;Q5VW32;
7249;Q6ZMT1;Q99469
7250;Q86U70;O43679,
7251;Q8N7U7;
7252;Q8TAX9;
7253;Q92966;
7254;Q969G3;
7255;Q96ER9;
7256;Q9GZS9;Q8NCG5,Q9GZX3
7257;Q9H161;Q15699,O95076
7258;Q9UBB5;Q8WWY6,O95983,
7259;Q9UKB5;
7260;O15482;
7261;O95665;
7262;P13473;
7263;P21128;
7264;P24864;O96020
7265;P31260;Q9NYD6,P28358,V9GYH0
7266;P43034;
7267;Q13569;
7268;Q6IA17;
7269;Q7KZN9;
7270;Q8IWB7;Q96P53,
7271;Q96K37;
7272;Q96LW2;
7273;Q96LZ7;
7274;Q99574;
7275;Q9BT25;
7276;Q9BV87;
7277;Q9P2E8;A6NNE9,Q86YJ5,
7278;Q9Y5X4;Q9Y466
7279;Q9Y679;
7280;A4D1S0;
7281;O75063;
7282;O75121;P55082,
7283;P54727;P54725
7284;Q2M3D2;
7285;Q53GL0;
7286;Q5TGI0;
7287;Q6UWZ7;
7288;Q8IYP9;
7289;Q8N4J0;
7290;Q8TB45;
7291;Q8WU67;Q96SE0,
7292;Q9BXU3;Q9BXU2,
7293;Q9UG56;
7294;Q9ULG3;
7295;Q9Y303;H3BQ15
7296;O14556;P04406
7297;P05455;
7298;P12644;P12643,
7299;Q03154;
7300;Q5T1Q4;Q8IXU6
7301;Q5VYV7;
7302;Q6PIU2;
7303;Q8NBB4;
7304;Q96BU1;
7305;Q96Q45;
7306;Q9H3H5;
7307;A0A0J9YX57;Q8N7X4,Q9BZ81,
7308;A6NJ78;P0C7V9,
7309;O60858;
7310;O95390;O14793
7311;P09529;
7312;Q15697;
7313;Q16186;
7314;Q499Z3;
7315;Q5VUY0;Q5VUY2
7316;Q70YC5;
7317;Q92901;P39023
7318;Q96EP5;
7319;Q9NSI5;
7320;P00738;P00739,
7321;P15735;Q16816,
7322;P48742;Q9H2C1
7323;P48775;
7324;P50458;Q9NQ69,
7325;Q06587;Q99496,
7326;Q08AI6;
7327;Q6P499;Q9H841
7328;Q6UXH8;
7329;Q8N693;
7330;Q8N6T3;
7331;Q8N7A1;Q9Y2U9,
7332;Q8TC90;
7333;Q8WWB7;
7334;Q93088;Q9H2M3,
7335;Q96GC9;
7336;Q9BRQ0;
7337;Q9BS26;
7338;Q9BSE4;
7339;Q9BT78;
7340;Q9BY76;
7341;Q9H4K7;
7342;Q9NRN5;
7343;Q9UDX3;O76054,H7C417,H7C4C6,Q9UDX4,B5MCN3,Q9UDX5
7344;Q9UNH7;Q86XE0,Q9Y5X3
7345;Q9Y2C2;
7346;A0A1B0GUL7;P36507,Q02750
7347;A0A1W2PPM1;A0A1W2PPK0,
7348;O75830;
7349;P0CK96;P0CK97
7350;P32929;
7351;P80365;
7352;Q1RMZ1;
7353;Q96P63;Q9UIV8,P48594,Q96P15,P29508,
7354;Q9BSL1;
7355;A6NKF1;
7356;O15218;
7357;P51810;
7358;Q15109;
7359;Q5T953;
7360;Q6ICG6;
7361;Q8N205;
7362;Q96B23;
7363;Q9BUU2;
7364;Q9GZZ9;
7365;Q9NNX6;Q9H2X3
7366;O14965;Q9UQB9,Q96GD4
7367;O43581;
7368;P0CG32;Q6PEW1,
7369;P48728;
7370;P57723;P57721,Q15365,Q15366
7371;P60484;
7372;Q5EBL4;
7373;Q6NYC1;
7374;Q7L0Y3;
7375;Q8IWR1;
7376;Q8NEZ5;
7377;Q92968;
7378;Q96BZ9;
7379;Q9BRR3;
7380;Q9BUL5;
7381;Q9BXR0;
7382;Q9C009;
7383;Q9NUD5;
7384;Q9UGK3;
7385;Q9UHR6;
7386;A6H8Z2;
7387;H7C350;
7388;O60663;Q8TE12
7389;O95236;Q9BQE5,O14791,Q9BPW4,
7390;P04278;
7391;P05121;P07093,
7392;P34995;
7393;Q5W0U4;
7394;Q6UWY5;
7395;Q6UX72;Q8NFL0,Q6ZMB0,Q9C0J1,Q9Y2A9
7396;Q6UX73;Q86U02,
7397;Q7Z6K3;
7398;Q86UW8;
7399;Q96S07;
7400;Q9H1Y3;
7401;Q9Y4X4;
7402;O00300;
7403;P50219;
7404;P60372;Q8IUG1,P60410,P60371,P60368,P60412,P60369,P60409,P60370,P60331,P60411,P60413,P60014,Q9BYS1,Q07627,P0C5Y4
7405;Q13561;
7406;Q15583;Q9GZN2
7407;Q6P093;P22760
7408;Q8NBJ4;
7409;Q8NBV8;
7410;Q8WV24;
7411;Q8WVQ1;
7412;Q96A59;
7413;Q96I25;
7414;Q96LI6;
7415;Q96NA2;
7416;Q9H1N7;
7417;O43739;M0QZ92,Q99418,Q9UIA0,Q15438
7418;O60609;
7419;P0CB48;P0CB47,
7420;P15509;
7421;P16150;
7422;P22891;
7423;P35372;P41145,P41146,P41143
7424;P49137;Q16644
7425;P53602;
7426;Q3C1V0;
7427;Q5JVX7;
7428;Q6ZU45;
7429;Q8N9N2;
7430;Q8NC42;
7431;Q92734;
7432;Q9BTV4;V9GY05
7433;Q9GZV5;
7434;Q9H2G9;
7435;Q9NQL2;Q9HB90,
7436;Q9NRC8;
7437;Q9NVG8;
7438;Q9UPV7;
7439;E5RJM6;
7440;O14958;P31415
7441;O95684;
7442;P32247;P30550,P28336,
7443;P49441;
7444;Q5JVF3;
7445;Q5TDH0;Q8WTU0
7446;Q86VE0;
7447;Q86YH6;
7448;Q8IWX5;
7449;Q8N4Y2;
7450;Q99442;
7451;Q99551;
7452;Q9C0C6;
7453;Q9NTG7;Q8IXJ6
7454;Q9NYB0;
7455;Q9Y279;
7456;O43435;O75333
7457;P05423;
7458;P15291;O60512,O60909,O60513
7459;P27930;
7460;P34981;
7461;P51398;
7462;P61647;
7463;Q5T2D3;
7464;Q658L1;
7465;Q6BEB4;
7466;Q6NSI3;
7467;Q86XQ3;
7468;Q8IWV1;
7469;Q8N126;
7470;Q8N2K0;Q7Z5M8
7471;Q8NAX2;
7472;Q8WYN0;Q9Y4P1,
7473;Q969F8;
7474;Q96G97;
7475;Q9H228;O95977,O95136,Q99500,P21453,
7476;Q9H3Q3;
7477;Q9UBI4;
7478;Q9Y639;P35613,
7479;B8ZZ34;
7480;M0R3H8;Q01892,P17947,
7481;P55085;
7482;P78423;
7483;Q0VG99;Q9BRJ9
7484;Q7Z7M8;
7485;Q8NEZ2;
7486;Q9C0D9;
7487;Q9H497;
7488;Q9HB65;
7489;Q9NWB1;A6NFN3,O43251
7490;Q9NY97;
7491;Q9UBR4;Q969G2,
7492;O77932;
7493;P06727;
7494;P13994;
7495;P36383;
7496;P78381;Q9Y2D2,P78382
7497;P82933;
7498;Q03426;
7499;Q13216;
7500;Q15007;
7501;Q53F39;
7502;Q7L5Y9;
7503;Q7LC44;
7504;Q8TAD8;
7505;Q8WWV3;
7506;Q96P71;
7507;Q9GZN1;
7508;Q9H5Q4;
7509;Q9HAS0;
7510;Q9NQS5;
7511;Q9NTK5;
7512;Q9Y5K1;
7513;O14775;Q9HAV0,P62873,P16520,P62879
7514;P31153;Q00266,
7515;P98182;
7516;Q02127;
7517;Q13510;
7518;Q13888;Q6P1K8
7519;Q4V339;Q5RIA9,Q8IUF1,Q5JTY5,Q9BRT8
7520;Q53QW1;
7521;Q6P387;
7522;Q6PEW0;
7523;Q6VVB1;
7524;Q7Z6J2;
7525;Q7Z6K1;
7526;Q8NFZ6;Q9BXE9,Q9GZP7,Q7Z5H5
7527;Q8TEY5;
7528;Q92643;
7529;Q92665;
7530;Q96KC9;
7531;Q9BSW2;
7532;Q9H6D3;
7533;Q9NR46;Q9Y371
7534;Q9Y3Q8;
7535;Q9Y5Y4;
7536;O14649;Q9H427,Q9NPC2
7537;O75521;
7538;Q13115;Q05923,P28562,Q16690
7539;Q16739;
7540;Q5T7V8;
7541;Q5T9C9;
7542;Q6P6C2;
7543;Q6UXV0;
7544;Q86UD0;
7545;Q86X24;Q8N7B1
7546;Q86YT9;
7547;Q92597;Q9UN36,Q9UGV2,Q9ULP0
7548;Q9BSE2;
7549;Q9H814;
7550;Q9HA82;Q96G23,Q8N5B7,Q8IU89,Q6ZMG9
7551;Q9UQ80;H0YIN7,
7552;O60870;
7553;O95727;
7554;P32754;
7555;P51553;P50213,O43837
7556;Q00978;
7557;Q5T8I9;
7558;Q6IQ20;
7559;Q6ZV65;
7560;Q7L8J4;
7561;Q8NBI6;
7562;Q8NBR0;
7563;Q8TCW9;Q8NFJ6,
7564;Q96G75;Q9H871
7565;Q9BVC3;
7566;Q9BWS9;
7567;Q9NQR1;
7568;O15382;P54687
7569;O95972;
7570;P15529;
7571;P21549;
7572;P21953;
7573;P51570;
7574;Q05925;P19622
7575;Q53T59;
7576;Q6IQ16;O43791
7577;Q6ZQY2;
7578;Q8N0U4;
7579;Q8N4H0;
7580;Q8NBL1;
7581;Q99689;
7582;Q9BRP4;
7583;Q9H0C8;
7584;Q9H6S1;
7585;Q9NWT1;
7586;Q9NYF3;
7587;Q9Y383;Q9NQ29,
7588;A6NI72;P14598,A8MVU1
7589;O14717;
7590;P30411;
7591;P48048;P78508,Q99712
7592;P55209;Q99733,
7593;P68400;Q8NEV1,P19784
7594;Q00587;
7595;Q15011;
7596;Q8IXN7;Q9ULI2,
7597;Q8N6M5;
7598;Q8N6V9;
7599;Q92546;
7600;Q92785;Q92784
7601;Q92838;
7602;Q93097;O00755,P09544,Q9H1J7,P04628,Q9UBV4,P41221,O96014,P56706,P56703,Q9Y6F9,P56705,P56704
7603;Q99638;
7604;O60667;
7605;O75900;
7606;P01137;M0R2S0
7607;P08559;P29803,
7608;P28222;P30939,P28221,P28566
7609;P43115;
7610;Q12905;
7611;Q5U4P2;Q6ICH7,
7612;Q6NZI2;
7613;Q8IVS2;
7614;Q96AP7;
7615;Q96FI4;
7616;Q99816;
7617;Q9BTY7;
7618;Q9C0F1;
7619;Q9H3N8;
7620;Q9NNX1;
7621;Q9NXC2;Q3B7J2,
7622;Q9P0Z9;
7623;P31350;Q7LG56,
7624;Q13508;
7625;Q13686;
7626;Q15008;
7627;Q5JT82;
7628;Q7L273;
7629;Q7Z6J8;
7630;Q8N9B4;
7631;Q8WVF1;
7632;Q96DP5;
7633;Q99447;
7634;Q9HC52;
7635;Q9NP31;
7636;Q9NZJ7;Q9Y6C9,
7637;Q9UKP6;
7638;O43286;Q9UBX8,
7639;O76081;P49795,Q9UGC6
7640;P15812;P29016,P29017,P15813,P06126
7641;P20142;
7642;P31271;Q92826,P35453,P31276
7643;P85299;
7644;Q13639;
7645;Q5JXC2;
7646;Q6PEV8;
7647;Q6ZMV7;
7648;Q86XS5;
7649;Q8N9Z9;
7650;Q8NFZ8;
7651;Q8WV60;
7652;Q96PD7;Q86VF5,Q58HT5,Q96PD6,Q3SYC2,Q6E213,Q6ZPD8
7653;Q99726;Q8IWU4,Q9BRI3
7654;Q9BWW4;P81877,Q9BWG4
7655;Q9H488;
7656;Q9NR56;Q5VZF2,Q9NUK0,
7657;Q9NX36;
7658;A4D1E9;
7659;O43603;O60755
7660;O75781;
7661;O75936;
7662;O95801;
7663;P0C7A2;Q9UHL3
7664;P0CG43;P0CG42,C9JC47
7665;P37059;
7666;P49019;Q8TDS4,Q9BXC0,
7667;Q53HC9;
7668;Q7Z7H3;
7669;Q86XK7;
7670;Q8N7C3;
7671;Q96FK6;
7672;Q9H0F6;
7673;Q9NR83;
7674;Q9NY43;Q9BZE3
7675;Q9UKT5;
7676;P31483;Q01085,
7677;P40394;P00326,P07327,P11766,P28332,P08319,P00325
7678;P43119;P43116,
7679;P53582;Q6UB28,
7680;Q6NVY1;
7681;Q7Z6G3;Q8N987,
7682;Q86V24;Q96A54,
7683;Q86VN1;
7684;Q8N7X2;
7685;Q96AK3;Q9NRW3,Q8IUX4,P31941,Q9HC16,Q9UH17
7686;Q9NWM3;
7687;Q9UJW3;A0A096LPK6
7688;Q9Y3P4;
7689;Q9Y570;
7690;A0A286YF58;
7691;A8MW99;
7692;D6RGH6;
7693;P28906;
7694;Q01459;
7695;Q12824;
7696;Q49AM1;
7697;Q6P444;
7698;Q6RFH5;
7699;Q6ZNW5;
7700;Q8N365;
7701;Q8N490;
7702;Q8N8R5;
7703;Q96RI0;
7704;Q9BRX2;
7705;Q9NXX6;Q8N140
7706;Q9UI38;
7707;A8MTB9;
7708;O00590;
7709;O15315;
7710;P01880;
7711;P25929;P50391,P0DQD5,Q99463
7712;P35713;
7713;P36402;
7714;Q5T9C2;Q5T8I3,
7715;Q7Z418;
7716;Q8TCT6;
7717;Q96CB9;
7718;Q96LK8;
7719;Q9GZN0;
7720;Q9NZN9;O00170,
7721;Q9UBR1;
7722;Q9UIL4;
7723;Q9Y312;
7724;O95084;
7725;P80370;
7726;Q29980;Q29983
7727;Q2M296;
7728;Q6UY11;
7729;Q9H4B6;
7730;Q9H6Y2;
7731;Q9NP85;Q8TAV4,P27105,
7732;Q9NTX9;
7733;Q9NXR7;
7734;Q9Y282;
7735;P0DKB5;
7736;P51888;O60938,Q06828
7737;Q13477;
7738;Q15784;Q96NK8,Q9HD90,Q13562,
7739;Q6DD87;
7740;Q6UX15;Q9H9P2,
7741;Q8NFW5;
7742;Q9BQ90;
7743;Q9NXS2;Q16769
7744;Q9UGM5;
7745;Q9UHK6;
7746;F5GYI3;
7747;O00622;
7748;O43567;Q9H6Y7
7749;P07988;
7750;P08174;
7751;P10644;P31321
7752;P26022;
7753;P49146;
7754;P49908;
7755;Q03113;Q14344,
7756;Q13601;
7757;Q58FF8;Q58FG0
7758;Q7Z6M4;
7759;Q8N0Z2;
7760;Q8NFJ8;Q8NDY6,
7761;Q96FG2;
7762;Q9BUA3;
7763;Q9BWX1;
7764;Q9BYZ2;P07195,P07864,P00338,Q6ZMR3,
7765;Q9NPF8;O75689
7766;Q9P0J7;
7767;Q9UBC1;
7768;Q9UPC5;
7769;B2RXF0;
7770;C9JTQ0;
7771;O00154;Q6ZUV0,
7772;O43173;
7773;O43639;P16333,
7774;O75635;
7775;P00156;
7776;P01100;P15408
7777;P18615;
7778;P26378;Q14576,Q12926,Q15717
7779;P35414;
7780;P39748;
7781;Q14627;
7782;Q6DKK2;
7783;Q6YI46;
7784;Q8IYR6;Q9UIK5
7785;Q8NFH3;
7786;Q8WTW4;
7787;Q92782;
7788;Q96DV4;
7789;Q96HA4;
7790;Q96K31;Q96EF9
7791;Q96LY2;Q96AQ1
7792;Q96S82;
7793;Q9BXN1;P21810,P07585,
7794;Q9UNW8;
7795;A4GXA9;
7796;A6NHQ4;
7797;E9PGG2;
7798;P07902;
7799;P49354;
7800;Q6ZR37;
7801;Q86WV6;
7802;Q8IXS6;
7803;Q8N443;
7804;Q8NES3;O00587,Q9Y644,
7805;Q8TBM8;Q9H819,Q9NXW2,
7806;Q8TC36;
7807;Q9H300;
7808;Q9NX58;
7809;Q9P2T0;
7810;Q9Y5W5;
7811;O75678;F8VTS6,O75679,O75677,A6NLU0,
7812;O96024;
7813;P26951;
7814;P32248;Q9NPB9,P51684,P51686,
7815;P35410;
7816;P51991;P09651,Q13151,Q8IUB9,Q32P51,Q7Z4W3,P22626,A0A2R8Y4L2
7817;Q16543;
7818;Q5XKL5;
7819;Q6P1Q9;Q9H825,Q96IZ6
7820;Q6P4I2;
7821;Q6ZS10;
7822;Q96H15;
7823;Q9BYG0;
7824;Q9NRZ5;Q9NRZ7,
7825;O60704;O60507,
7826;O75319;
7827;O75381;
7828;P01860;P01859,P01861,P01857
7829;P41231;P51582,Q15077,
7830;P53609;
7831;Q14094;
7832;Q15049;
7833;Q16795;
7834;Q3KNW5;Q12908
7835;Q5NUL3;
7836;Q6UX07;Q8NBN7,Q8TC12,H0YJ10,Q9HBH5,Q96NR8,H0YIZ8
7837;Q6ZVX9;
7838;Q8N4Q0;
7839;Q8NG68;
7840;Q8TAX7;
7841;Q8TCT9;
7842;Q969W1;
7843;Q96CM3;
7844;Q96RQ1;
7845;Q9BZW4;Q9BZW5,
7846;Q9GZT8;
7847;Q9H0I3;
7848;Q9H7Z7;
7849;Q9Y6U7;
7850;A6NED2;
7851;O15466;
7852;O43364;P14652
7853;O43502;
7854;O75554;
7855;P52655;
7856;P56202;
7857;P58012;
7858;Q1AE95;Q8IXX5,
7859;Q5T280;
7860;Q86TI4;
7861;Q8NCH0;
7862;Q8NEW0;
7863;Q8NFA2;
7864;Q96FC7;Q92561,
7865;Q9BYG4;Q9BYG5,Q9NPB6
7866;Q9H4I3;
7867;Q9HB07;
7868;Q9UNM6;
7869;Q9Y5B8;
7870;A8MTI9;
7871;A8MXV4;
7872;P08571;
7873;P35247;P11226,
7874;P35659;
7875;P36952;
7876;Q11203;
7877;Q15198;
7878;Q6SJ96;P20226
7879;Q92186;Q92187
7880;Q96LA8;
7881;Q99527;
7882;Q9HBK9;
7883;Q9NS67;Q9NS66,P60893
7884;Q9NW38;
7885;A6NG13;
7886;O00254;
7887;P12314;Q92637
7888;P30679;P19086,P50148,P04899,P63096,P19087,O95837,P09471,P11488,P08754,A8MTJ3,P29992
7889;P41597;P32246,P51681,P51679,P49238,P51677
7890;Q15629;Q8N609,Q15035
7891;Q5VZM2;Q7L523,
7892;Q6P6B1;
7893;Q7L2H7;
7894;Q8IVL8;
7895;Q8N998;
7896;Q8NBK3;Q8NBJ7
7897;Q8TDU9;
7898;Q96CD0;V9GY91,V9GYE0,J3QRK9
7899;Q96G91;
7900;Q9HCN4;
7901;Q9NPI8;
7902;Q9UJ37;
7903;A0A087WXM9;
7904;A2RU49;
7905;O75444;Q9Y5Q3,
7906;P14060;P26439,
7907;P15104;
7908;P47900;
7909;P53367;P53365
7910;P56589;
7911;Q02833;
7912;Q15738;
7913;Q16621;
7914;Q5GH70;
7915;Q86W33;
7916;Q8WUP2;
7917;Q969T3;
7918;Q96HJ3;
7919;Q96LB8;O75594,Q96LB9,
7920;Q99788;
7921;Q9BRQ8;
7922;Q9BV79;
7923;Q9BYV8;
